filename,label,confidence,keep,gain_r,gain_g,gain_b,exposure,acq_ts,acq_dt,ref_dt,tle_age,lat,lng,h,tle_ref_line1,tle_ref_line2
img_msec_1608974403311_2,bad,0.83707799999999999,False,8,8,8,2,1608974403311,2020/12/26 09:20:03,2020/12/19 18:03:53,6.6362331106502097,-14.556774074245268,124.20211330161449,532507.3125,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
img_msec_1608974428591_2,bad,0.83818999999999999,False,8,8,8,2,1608974428591,2020/12/26 09:20:29,2020/12/19 18:03:53,6.6365257032448426,-16.133528366784589,123.87419591956217,533140.4375,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
img_msec_1608974455070_2,earth,0.57888399999999995,False,8,8,8,2,1608974455070,2020/12/26 09:20:55,2020/12/19 18:03:53,6.6368321731497417,-17.784620730703036,123.52692178140204,533819.5625,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
img_msec_1608974487470_2,earth,0.70267000000000002,False,8,8,8,2,1608974487470,2020/12/26 09:21:27,2020/12/19 18:03:53,6.6372071731384494,-19.80424961166786,123.09595050515259,534670.9375,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
img_msec_1608974531551_2,earth,0.87547200000000003,True,8,8,8,2,1608974531551,2020/12/26 09:22:12,2020/12/19 18:03:53,6.6377173699002014,-22.550731856179812,122.49725710364429,535860.875,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
