filename,label,confidence,keep,gain_r,gain_g,gain_b,exposure,acq_ts,acq_dt,ref_dt,tle_age,lat,lng,h,tle_ref_line1,tle_ref_line2
img_msec_1608757445321_2,earth,0.91074999999999995,True,8,8,8,2,1608757445321,2020/12/23 21:04:05,2020/12/19 18:03:53,4.1251452634242014,0.84900825528418766,-49.737953215315187,525958.3125,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
img_msec_1608757480361_2,earth,0.91398000000000001,True,8,8,8,2,1608757480361,2020/12/23 21:04:40,2020/12/19 18:03:53,4.1255508189788088,-1.3413270633590904,-50.171325303057912,526610.5625,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
img_msec_1608757519000_2,earth,0.84004699999999999,True,8,8,8,2,1608757519000,2020/12/23 21:05:19,2020/12/19 18:03:53,4.1259980296235881,-3.7561182463022957,-50.649783469511888,527381.625,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
img_msec_1608757559961_2,earth,0.94879800000000003,True,8,8,8,2,1608757559961,2020/12/23 21:06:00,2020/12/19 18:03:53,4.12647211526928,-6.3153585386811626,-51.158868204204204,528256.375,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
img_msec_1608757601401_2,earth,0.95467100000000005,True,8,8,8,2,1608757601401,2020/12/23 21:06:41,2020/12/19 18:03:53,4.1269517449036357,-8.9037423944748273,-51.677262486735245,529198.8125,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
