filename,label,confidence,keep,gain_r,gain_g,gain_b,exposure,acq_ts,acq_dt,ref_dt,tle_age,lat,lng,h,tle_ref_line1,tle_ref_line2
img_msec_1536094429238_2,bad,0.84929500000000002,False,8,8,8,2,1536094429238,,,,,,,1 44878U 19092F   20362.47540630  .00001831  00000-0  98583-4 0  9994,2 44878  97.4678 182.5764 0015157  51.1992 309.0592 15.15989952 56770
img_msec_1536094448288_2,bad,0.84929500000000002,False,8,8,8,2,1536094448288,,,,,,,1 44878U 19092F   20362.47540630  .00001831  00000-0  98583-4 0  9994,2 44878  97.4678 182.5764 0015157  51.1992 309.0592 15.15989952 56770
img_msec_1536094465797_2,bad,0.84929500000000002,False,8,8,8,2,1536094465797,,,,,,,1 44878U 19092F   20362.47540630  .00001831  00000-0  98583-4 0  9994,2 44878  97.4678 182.5764 0015157  51.1992 309.0592 15.15989952 56770
img_msec_1536094483557_2,bad,0.85343100000000005,False,8,8,8,2,1536094483557,,,,,,,1 44878U 19092F   20362.47540630  .00001831  00000-0  98583-4 0  9994,2 44878  97.4678 182.5764 0015157  51.1992 309.0592 15.15989952 56770
img_msec_1536094509157_2,earth,0.92754700000000001,True,8,8,8,2,1536094509157,,,,,,,1 44878U 19092F   20362.47540630  .00001831  00000-0  98583-4 0  9994,2 44878  97.4678 182.5764 0015157  51.1992 309.0592 15.15989952 56770
