filename,label,confidence,keep,gain_r,gain_g,gain_b,exposure,acq_ts,acq_dt,ref_dt,tle_age,lat,lng,h,tle_ref_line1,tle_ref_line2
img_msec_1608888903130_2,earth,0.98105799999999999,True,8,8,8,2,1608888903130,2020/12/25 09:35:03,2020/12/19 18:03:53,5.6466476824061829,-17.278595920758885,120.068291570626,533235.25,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
img_msec_1608888931768_2,earth,0.55672500000000003,False,8,8,8,2,1608888931768,2020/12/25 09:35:32,2020/12/19 18:03:53,5.6469791407362209,-19.064120067921525,119.68922973206864,533998.1875,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
img_msec_1608888968488_2,edge,0.87052799999999997,True,8,8,8,2,1608888968488,2020/12/25 09:36:08,2020/12/19 18:03:53,5.6474041407418554,-21.352648373867876,119.19487430032146,535000.75,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
img_msec_1608888994089_2,bad,0.88233600000000001,False,8,8,8,2,1608888994089,2020/12/25 09:36:34,2020/12/19 18:03:53,5.6477004486077931,-22.947560724315675,118.8439391807662,535713.875,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
img_msec_1608889019128_2,bad,0.84929500000000002,False,8,8,8,2,1608889019128,2020/12/25 09:36:59,2020/12/19 18:03:53,5.6479902518476592,-24.506920232586264,118.49509409909697,536421.125,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
