filename,label,confidence,keep,gain_r,gain_g,gain_b,exposure,acq_ts,acq_dt,ref_dt,tle_age,lat,lng,h,tle_ref_line1,tle_ref_line2
img_msec_1608843002411_2,bad,0.86779200000000001,False,8,8,8,2,1608843002411,2020/12/24 20:50:02,2020/12/19 18:03:53,5.115389360638801,0.034349611640429226,-46.334592895302897,526737.375,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
img_msec_1608843038970_2,earth,0.70572500000000005,False,8,8,8,2,1608843038970,2020/12/24 20:50:39,2020/12/19 18:03:53,5.1158124972207588,-2.2504062454241582,-46.786795814587343,527422.9375,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
img_msec_1608843084412_2,earth,0.473688,False,8,8,8,2,1608843084412,2020/12/24 20:51:24,2020/12/19 18:03:53,5.1163384462925023,-5.089605533154681,-47.350214704127112,528340.75,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
img_msec_1608843127532_2,edge,0.96892699999999998,True,8,8,8,2,1608843127532,2020/12/24 20:52:08,2020/12/19 18:03:53,5.1168375203706091,-7.7829134743176116,-47.887801818225888,529276.25,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
img_msec_1608843170331_2,edge,0.98758199999999996,True,8,8,8,2,1608843170331,2020/12/24 20:52:50,2020/12/19 18:03:53,5.1173328791628592,-10.455287312561277,-48.425884121039495,530263.625,1 44878U 19092F   20354.75269410  .00001586  00000-0  85930-4 0  9999,2 44878  97.4684 174.9776 0015442  75.5545 284.7400 15.15958686 55604
